sample,model,response_time,transcription,accuracy
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,latice,0.30,Mi-t-o-z-e-bishy,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,deepgram-nova-3,0.84,Emitou Zibichi.,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,gladia,1.19,Semi-toussibishi,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,google-latest_long,0.92,,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,groq-whisper-large-v3,0.48, Semi-tousibifi,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,groq-whisper-large-v3-turbo,0.22, Semi Tuzibishi.,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,elevenlabs,0.53,C'est Mitsubishi.,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,fal,1.66,Semi-tousibishi.,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,speechmatics,0.00,,0
37f112ba-0497-4ede-ab1d-1e7f718a5e4d_raw.wav,openai-gpt-4o-transcribe,1.20,Émit aux Hibichis.,0
,,,,
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,latice,0.24,Porsche,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,deepgram-nova-3,0.67,Porsche.,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,gladia,301.36,Porsche.,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,google-latest_long,0.56,,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,groq-whisper-large-v3,0.38, Porsche,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,groq-whisper-large-v3-turbo,0.22, Porsche.,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,elevenlabs,0.50,Porsche.,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,fal,2.05,Porsche.,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,speechmatics,0.00,,0
9c385272-8b7d-4981-9867-41081d5a3fca_raw.wav,openai-gpt-4o-transcribe,1.09,Porsche,0
,,,,
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,latice,0.33,Je voulais savoir combien coûterait le remplacement de lait l'avant sur ma berline.,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,deepgram-nova-3,0.89,Je voulais savoir combien coûterait le remplacement de l'aile avant sur la berline.,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,gladia,1.05,Je voulais savoir combien coûterait le remplacement de l'aile avant sur ma berline.,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,google-latest_long,1.15,Je voulais savoir combien coûterait le remplacement de l'aile avant sur ma base.,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,groq-whisper-large-v3,0.37, Je voulais savoir combien coûterait le remplacement de l'aile avant sur ma berline ?,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,groq-whisper-large-v3-turbo,0.35, Je voulais savoir combien coûterait le remplacement de l'aile avant sur ma berline ?,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,elevenlabs,0.64,Je voulais savoir combien coûterait le remplacement de l'aile avant sur ma berline.,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,fal,0.94,Je voulais savoir combien coûterait le remplacement de l'aile avant sur ma berline ?,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,speechmatics,0.00,,0
d3b83fc8-495e-491d-b7ad-261697f34c79_raw.wav,openai-gpt-4o-transcribe,1.33,Je voulais savoir combien coûterait le remplacement de l'aile avant sur ma berline.,0
,,,,
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,latice,0.65,"C, H, E, V, E, O, 8.",0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,deepgram-nova-3,0.76,C-H-E-V-E-O-Huit.,0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,gladia,301.77,C H E V E O 8,0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,google-latest_long,1.40,c'est h euh V eo8,0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,groq-whisper-large-v3,0.42, C H E V E O 8,0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,groq-whisper-large-v3-turbo,0.60, CHEVO 8,0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,elevenlabs,0.71,"C, h, e, v, e, o, 8.",0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,fal,1.23,C H E V E O 8,0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,speechmatics,0.00,,0
db7c01e4-2f0c-4086-bede-7cb63f1af37f_raw.wav,openai-gpt-4o-transcribe,1.03,c h e v e a u x,0
,,,,
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,latice,0.24,Renault Captur,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,deepgram-nova-3,0.99,Merci.,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,gladia,0.60,,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,google-latest_long,0.32,,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,groq-whisper-large-v3,0.19, Merci.,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,groq-whisper-large-v3-turbo,0.31," Oui, c'est...",0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,elevenlabs,0.42,Ok.,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,fal,0.45,Merci.,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,speechmatics,0.00,,0
651bc50b-6e5b-4357-bbcf-394ef2e4dfce_aug.wav,openai-gpt-4o-transcribe,0.45,Leurs,0
,,,,
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,latice,0.22,Nissan Murano,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,deepgram-nova-3,0.31,Nique en murallo.,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,gladia,0.77,Nyssa Murano,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,google-latest_long,0.47,Nissan muran,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,groq-whisper-large-v3,0.21, Nyssa Murano.,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,groq-whisper-large-v3-turbo,0.34, Nissan Murano.,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,elevenlabs,0.46,Ni pour Murano ?,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,fal,0.51,Nyssa Murano.,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,speechmatics,0.00,,0
983cd2a0-9f66-4960-8550-963af6802d66_raw.wav,openai-gpt-4o-transcribe,0.60,Niformurano.,0
,,,,
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,latice,0.24,ALPIN,0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,deepgram-nova-3,0.46,A l p a n.,0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,gladia,1.05,L-P-I-N,0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,google-latest_long,0.62,LPA,0
